input_id	dealiased_id	standard_id	short_id
doi:10.1101/833400	doi:10.1101/833400	doi:10.1101/833400	i9BKPuqb
doi:10.7554/eLife.69080	doi:10.7554/eLife.69080	doi:10.7554/elife.69080	W48O6c9O
doi:10.7554/eLife.68678	doi:10.7554/eLife.68678	doi:10.7554/elife.68678	2IKN9nw1
